64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa k
4 60 32 44 0.0485609 4.06823 83.7758
4 60 33 45 0.0516326 4.08358 79.0892
4 60 34 46 0.0552262 4.08319 73.9358
4 60 35 47 0.0588644 4.02671 68.4065
4 60 36 48 0.0648099 4.05676 62.5948
4 60 37 49 0.07171 4.05831 56.5934
4 60 38 50 0.0794099 4.00966 50.4932
4 60 39 51 0.0925751 4.10857 44.381
4 60 40 52 0.107787 4.13234 38.3381
4 60 41 53 0.130419 4.23072 32.4396
4 60 42 54 0.16224 4.3405 26.7536
4 60 43 55 0.205298 4.38125 21.3409
4 60 44 56 0.278755 4.53117 16.255
4 60 45 57 0.457204 5.27703 11.542
5 17 6 9 2.2584 9.04864 4.00667
5 17 7 10 0.691303 6.33439 9.16298
5 17 8 11 0.380978 5.38595 14.1372
5 17 9 12 0.323147 5.57363 17.248
5 17 10 13 0.313649 5.4098 17.248
5 17 11 14 0.399581 5.64894 14.1372
5 17 12 15 0.663753 6.08195 9.16298
5 17 13 16 2.25229 9.0242 4.00667
5 27 6 11 2.39149 8.85755 3.70377
5 27 7 12 0.741569 6.23234 8.40426
5 27 8 13 0.381529 5.27718 13.8317
5 27 9 14 0.267713 5.24813 19.6035
5 27 10 15 0.180195 4.54662 25.2317
5 27 11 16 0.145012 4.37346 30.1593
5 27 12 17 0.126919 4.294 33.8325
5 27 13 18 0.116536 4.17172 35.7978
5 27 14 19 0.121551 4.35125 35.7978
5 27 15 20 0.131135 4.43662 33.8325
5 27 16 21 0.151158 4.55882 30.1593
5 27 17 22 0.195278 4.92718 25.2317
