64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa
5 61 44 56 0.180346423 3.8487625349126273
5 61 45 57 0.260115525 4.22817961851561
5 61 46 58 0.406131501 4.6875509494044065
6 18 7 10 2.2090376 8.850882232150717
6 18 8 11 0.557265946 5.106215922643986
6 18 9 12 0.427164519 6.038896116440792
6 18 10 13 0.281513899 4.85554037558646
6 18 11 14 0.280146363 4.831953169815607
6 18 12 15 0.296457236 4.191065436245119
6 18 13 16 0.728792329 6.677908494772071
6 18 14 17 2.037673 8.16428102022041
6 28 7 12 2.31568112 8.576755800006755
6 28 8 13 0.606351015 5.095931946322932
6 28 9 14 0.424365724 5.869688409826579
6 28 10 15 0.229236844 4.493853218665257
6 28 11 16 0.176325405 4.4489877868427525
6 28 12 17 0.138876784 4.188425129938333
6 28 13 18 0.125517337 4.24656985649458
6 28 14 19 0.119398712 4.274207073206332
6 28 15 20 0.125442216 4.490551011185754
6 28 16 21 0.128564359 4.3496583388233265
6 28 17 22 0.14647295 4.4175200992283985
6 28 18 23 0.202083201 5.0989004855828295
6 28 19 24 0.274114672 5.373617432329382
6 28 20 25 0.406459834 5.622019974190553
6 28 21 26 0.849123003 7.136251000330828
6 28 22 27 2.49632335 9.24581350423792
6 62 9 21 0.483480947 5.580314667905535
6 62 10 22 0.28195641 4.583203351940761
6 62 11 23 0.208326366 4.445880872809415
6 62 12 24 0.16087971 4.304111856232533
6 62 13 25 0.129439884 4.198975598630183
6 62 14 26 0.108134455 4.145667369290066
6 62 15 27 0.099368653 4.41007935785079
6 62 16 28 0.081739476 4.127290667301161
6 62 17 29 0.074784371 4.232302243137639
6 62 18 30 0.065417625 4.094799996259405
6 62 19 31 0.058966112 4.0336675732484135
6 62 20 32 0.055860963 4.130122649864448
6 62 21 33 0.05191397 4.105834401646151
6 62 22 34 0.049873782 4.178216190345035
6 62 23 35 0.047358088 4.163212585004946
6 62 24 36 0.045457595 4.15530045777009
6 62 25 37 0.044747451 4.215684297552471
6 62 26 38 0.04262201 4.102498524170474
6 62 27 39 0.042834177 4.176152556248651
6 62 28 40 0.042938864 4.204271747188611
6 62 29 41 0.041951605 4.090105488882947
6 62 30 42 0.043682081 4.204533592742226
6 62 31 43 0.045185074 4.256913023840094
6 62 32 44 0.044866346 4.101254104452099
6 62 33 45 0.046966081 4.128751555332253
6 62 34 46 0.049594149 4.154789710918334
6 62 35 47 0.051445518 4.068784907316976
6 62 36 48 0.055494357 4.103017357315585
6 62 37 49 0.060151134 4.114730825561635
6 62 38 50 0.063952411 4.00308528968424
6 62 39 51 0.072111625 4.081042444601162
6 62 40 52 0.080260153 4.052594861668348
6 62 41 53 0.095095064 4.220413240178468
6 62 42 54 0.110126099 4.222023175975755
6 62 43 55 0.128579242 4.17105673277925
6 62 44 56 0.150893899 4.0369554353314925
6 62 45 57 0.205493612 4.385427234281613
6 62 46 58 0.294350564 4.784670409055263
6 62 47 59 0.454827341 5.249596076320196
7 19 8 11 1.30634661 5.234098323848957
7 19 9 12 0.724936504 6.642577652915947
7 19 10 13 0.347407052 4.911351490658203
7 19 11 14 0.272710608 4.703701567483643
7 19 12 15 0.231719362 3.9966862097850977
7 19 13 16 0.385795322 5.4540528722303
7 19 14 17 0.692006837 6.340843819779902
