,meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,day,time,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
731,732,16,19,13,25,0.459491478,14.1371669411541,6.495907732523636,,0.321052,186.0,0.07945753335908202,186,20191230,608.0,2.0,0.4594856685,0.002528696931494884,0.4594856685,0.002528696931494884,True,True,True,True,True,True,True
732,733,16,19,14,26,0.822964518,9.16297857297023,7.540806244748774,,0.5750148,186.0,0.08495433508841858,186,20191230,655.0,2.0,0.8225254565,0.10675937055329406,0.8225254565,0.10675937055329406,True,True,True,True,True,True,True
733,734,16,19,15,27,2.29891603,4.00666889153481,9.210995341651707,,1.606279,186.0,0.07336832517887616,186,20191230,703.0,2.0,2.298332465,0.05078160004148025,2.298332465,0.05078160004148025,True,True,True,True,True,True,True
734,735,16,21,1,23,0.840753411,8.40426060195996,7.06591076803075,,0.6085956,191.0,0.06845268023626855,191,20191230,23.0,2.0,0.8408206075,0.015983552115776956,0.8408206075,0.015983552115776956,True,True,True,True,True,True,True
735,736,16,21,2,24,0.434560439,13.831674138287802,6.010698385639294,,0.3145649,191.0,0.07403877546414112,191,20191230,65.0,2.0,0.43470488500000004,0.06645704015955216,0.43470488500000004,0.06645704015955216,True,True,True,True,True,True,True
736,737,16,21,3,25,0.26907662,19.6035381584003,5.274853787703377,,0.1947763,191.0,0.07069648617413926,191,20191230,109.0,2.0,0.2691324415,0.041482550144366234,0.2691324415,0.041482550144366234,True,True,True,True,True,True,True
737,738,16,21,4,26,0.19315829,25.231689028831397,4.873709906620833,,0.1398213,191.0,0.06451091500365108,191,20191230,155.0,2.0,0.19316497700000002,0.006923615350821427,0.19316497700000002,0.006923615350821427,True,True,True,True,True,True,True
738,739,16,21,5,27,0.152404221,30.159289474462,4.596403018268881,,0.1103207,191.0,0.06671458756153652,191,20191230,204.0,2.0,0.15239831850000002,0.00774614845898291,0.15239831850000002,0.00774614845898291,True,True,True,True,True,True,True
739,740,16,21,6,28,0.129087001,33.8325362694285,4.367340643244254,,0.0934421,191.0,0.06228455910130444,191,20191230,255.0,2.0,0.1291060645,0.02953153296683357,0.1291060645,0.02953153296683357,True,True,True,True,True,True,True
740,741,16,21,7,29,0.11894419,35.797765332731,4.257936201311769,,0.0861,191.0,0.05656213704994193,191,20191230,308.0,2.0,0.1189637245,0.03284110359203558,0.1189637245,0.03284110359203558,True,True,True,True,True,True,True
741,742,16,21,8,30,0.117398027,35.797765332731,4.202587021071618,,0.0849808,191.0,0.06848605802722497,191,20191230,364.0,2.0,0.117418997,0.035718240720455305,0.117418997,0.035718240720455305,True,True,True,True,True,True,True
742,743,16,21,9,31,0.125870771,33.8325362694285,4.258527425118429,,0.0946339,195.0,0.07270122017585665,195,20191230,422.0,2.0,0.125894999,0.03848921751054009,0.125894999,0.03848921751054009,True,True,True,True,True,True,True
743,744,16,21,10,32,0.148428874,30.159289474462,4.476509377334446,,0.1115939,195.0,0.0737495508267029,195,20191230,481.0,2.0,0.148435503,0.008931825427246997,0.148435503,0.008931825427246997,True,True,True,True,True,True,True
744,745,16,21,11,33,0.1930241,25.231689028831397,4.870324066270054,,0.1451221,195.0,0.07173269956815674,195,20191230,525.0,2.0,0.1930002505,0.02471447569443033,0.1930002505,0.02471447569443033,True,True,True,True,True,True,True
745,746,16,21,12,34,0.276254597,19.6035381584003,5.415567533722998,,0.2076977,195.0,0.0709203809189991,195,20191230,570.0,2.0,0.276143131,0.08073059764068838,0.276143131,0.08073059764068838,True,True,True,True,True,True,True
746,747,16,21,13,35,0.457861092,13.831674138287802,6.332985425144613,,0.3442357,195.0,0.0828502098997867,195,20191230,616.0,2.0,0.45781874300000003,0.018500334749302665,0.45781874300000003,0.018500334749302665,True,True,True,True,True,True,True
747,748,16,21,14,36,0.872189027,8.40426060195996,7.3301038770778915,,0.6557418,195.0,0.08700070668058678,195,20191230,663.0,2.0,0.8718446925000001,0.07898987123787245,0.8718446925000001,0.07898987123787245,True,True,True,True,True,True,True
748,749,16,21,15,37,2.4198413,3.7037723916006,8.962541398994905,,1.81932,195.0,0.0856913572103863,195,20191230,711.0,2.0,2.417881675,0.1620943671695614,2.417881675,0.1620943671695614,True,True,True,True,True,True,True
