64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1832
# a b m n r rhoa
5 8 56 59 -0.000154798 3.571477234431962
5 8 58 61 -0.000143743 3.7230423220140842
5 8 62 1 -0.191938973 5.57720977834926
5 8 63 2 -0.326950097 6.128284475337691
5 8 64 3 -0.665469897 6.947756147696203
6 9 7 10 3.43465749 8.632235790544913
6 9 8 11 -0.819535632 12.873235604231368
6 9 10 13 -1.83782902 8.981326896556196
6 9 11 14 -0.530219889 7.403266258087072
6 9 12 15 -0.233384021 6.598777732549606
6 9 13 16 -0.116381267 5.687461631019343
6 9 14 17 -0.068978749 5.297187649409683
6 9 15 18 -0.045947317 5.196519127417031
6 9 16 19 -0.030240038 4.8028728841566295
6 9 17 20 -0.020244519 4.353068868241027
6 9 18 21 -0.014631933 4.13708158985562
6 9 19 22 -0.010882473 3.950647679875211
6 9 20 23 -0.00870465 3.977391335568901
6 9 21 24 -0.006904714 3.904523779956949
6 9 22 25 -0.005523426 3.809805842159092
6 9 23 26 -0.004324833 3.5929705913678407
6 9 24 27 -0.003533387 3.4966457320692417
6 9 25 28 -0.002973041 3.4703600120249405
6 9 26 29 -0.002582147 3.524236813182643
6 9 27 30 -0.002243886 3.552885389638875
6 9 28 31 -0.001940892 3.5399328837770696
6 9 29 32 -0.001695958 3.5401661086343466
6 9 30 33 -0.0015099 3.5860790052273477
6 9 31 34 -0.001302405 3.500613338443276
6 9 32 35 -0.001164639 3.5250710802160365
6 9 33 36 -0.001002509 3.401432902322275
6 9 34 37 -0.000895894 3.3930771106030493
6 9 35 38 -0.000771353 3.2482680822503562
6 9 36 39 -0.00069644 3.2490772196841067
6 9 37 40 -0.000631294 3.2516790392468473
6 9 38 41 -0.000580214 3.289134187570845
6 9 39 42 -0.000547816 3.4076091478155623
6 9 40 43 -0.000500469 3.4064097264867037
6 9 41 44 -0.000453405 3.3679473364341193
6 9 42 45 -0.000401125 3.243681063062624
6 9 43 46 -0.00037716 3.3124064915927796
6 9 44 47 -0.000357664 3.4039885809645867
6 9 46 49 -0.000306295 3.402102906296769
6 9 47 50 -0.000286241 3.4247536552879225
6 9 49 52 -0.000251454 3.4723396119355723
6 9 50 53 -0.000242185 3.583925719225358
6 9 52 55 -0.000211907 3.584635801893648
6 9 53 56 -0.000196276 3.542134965694247
6 9 55 58 -0.000180108 3.684407236169916
6 9 57 60 -0.000169751 3.916470703898371
6 9 58 61 -0.000158978 3.888449918883367
6 9 59 62 -0.000144908 3.753216621320112
6 9 62 1 -0.120665662 4.9872182464818104
6 9 63 2 -0.184867681 5.371737808422845
6 9 64 3 -0.315661448 5.916692391258156
7 10 8 11 3.67162108 9.22779024935472
7 10 9 12 -0.720190878 11.31273185753594
7 10 11 14 -1.91074427 9.337658029032337
7 10 12 15 -0.56940984 7.9504612010032645
7 10 13 16 -0.232832018 6.58317021542357
7 10 14 17 -0.122280757 5.975765100147088
7 10 15 18 -0.075320354 5.784187952697797
7 10 16 19 -0.046611267 5.271610103341665
7 10 17 20 -0.029684967 4.714713753712358
7 10 18 21 -0.020612867 4.432272736284464
7 10 19 22 -0.01481148 4.187847308111287
7 10 20 23 -0.011520579 4.1822983339512145
7 10 21 24 -0.008909888 4.071170159867349
7 10 22 25 -0.006979727 3.9469426321072203
7 10 23 26 -0.005359765 3.6969199930622456
7 10 24 27 -0.004305056 3.576540320098295
7 10 25 28 -0.003578533 3.541322289780016
7 10 26 29 -0.0030796 3.5947437970186105
7 10 27 30 -0.002650635 3.6177124870545234
7 10 28 31 -0.002271793 3.5970722924354743
7 10 29 32 -0.001955936 3.5673711700410875
7 10 30 33 -0.001739075 3.6301691288188014
7 10 31 34 -0.001526519 3.625549862229714
7 10 32 35 -0.001371036 3.685080223959456
7 10 33 36 -0.00117873 3.567721014308338
7 10 34 37 -0.001035326 3.5127783601241602
7 10 35 38 -0.000893381 3.3835594636727806
7 10 36 39 -0.000785485 3.3077797773346593
7 10 37 40 -0.000713317 3.327812898617839
7 10 38 41 -0.000653028 3.363626867420394
7 10 39 42 -0.000617512 3.500570186922838
