64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1907
# a b m n r rhoa
4 7 32 35 -0.00099807 3.780054863387393
4 7 33 36 -0.000871972 3.6719878139010387
4 7 34 37 -0.000785518 3.664649703422865
4 7 35 38 -0.000683703 3.5216281386646906
4 7 36 39 -0.000623907 3.5368223510028423
4 7 37 40 -0.000569638 3.5433497008911043
4 7 38 41 -0.000528474 3.5970239391357595
4 7 39 42 -0.000501237 3.7232492342877306
4 7 40 43 -0.000465833 3.766939683763544
4 7 41 44 -0.000424721 3.7301108217090277
4 7 42 45 -0.000382344 3.63887506151115
4 7 43 46 -0.000357995 3.684433537583722
4 7 44 47 -0.000337123 3.7445179910853446
4 7 45 48 -0.000322925 3.8636623479300742
4 7 46 49 -0.000294546 3.789281836202682
4 7 47 50 -0.000277901 3.8375474261555094
4 7 48 51 -0.000253999 3.7587528078019763
4 7 49 52 -0.000247457 3.9181418301281568
4 7 50 53 -0.00024015 4.062396654309483
4 7 51 54 -0.000228665 4.126649676631248
4 7 52 55 -0.000201552 3.8751490089997715
4 7 53 56 -0.000187359 3.83273844227663
4 7 54 57 -0.000175205 3.8086195764241535
4 7 55 58 -0.000172508 3.9800798121254086
4 7 56 59 -0.000168806 4.128833404666215
4 7 58 61 -0.000156888 4.298390679609513
4 7 62 1 -0.35084457 6.576157497171589
4 7 63 2 -0.709706001 7.409597719947109
4 7 64 3 -2.10967482 8.826661640434482
5 8 6 9 3.35515556 8.432425647157544
5 8 7 10 -0.803091477 12.614931421518909
5 8 9 12 -1.72367638 8.423471859559937
5 8 10 13 -0.522050251 7.289196592650237
5 8 11 14 -0.227887595 6.443369948666207
5 8 12 15 -0.120219606 5.875038260420922
5 8 13 16 -0.068094373 5.229272448096966
5 8 14 17 -0.043814173 4.955266224716861
5 8 15 18 -0.030852012 4.900069631409687
5 8 16 19 -0.021318173 4.58393085131222
5 8 17 20 -0.014829378 4.1929078483895434
5 8 18 21 -0.011026449 4.00291506894732
5 8 19 22 -0.008463942 3.867405303551288
5 8 20 23 -0.006938647 3.923712439389516
5 8 21 24 -0.005640006 3.8902173775139444
