vtk_name,datetime,reg_name,reg_group,xmin,xmax,ymin,ymax,zmin,zmax,ravg,rnum,datetimems
inversion/./GRAD_MMDCCC20200331_1223_inv.vtk,2020-03-31 12:23:09,d000_025,,10,20,-0.25,-0.0,,,9.510428100872936,200.0,2020-03-31 12:23:09
inversion/./GRAD_MMDCCC20200331_1223_inv.vtk,2020-03-31 12:23:09,d025_050,,10,20,-0.5,-0.25,,,8.667406561370418,53.0,2020-03-31 12:23:09
inversion/./GRAD_MMDCCC20200331_1223_inv.vtk,2020-03-31 12:23:09,d050_075,,10,20,-0.75,-0.5,,,7.840158657306023,47.0,2020-03-31 12:23:09
inversion/./GRAD_MMDCCC20200331_1223_inv.vtk,2020-03-31 12:23:09,d075_100,,10,20,-1.0,-0.75,,,6.198708185832674,23.0,2020-03-31 12:23:09
inversion/./GRAD_MMDCCC20200331_1223_inv.vtk,2020-03-31 12:23:09,d100_150,,10,20,-1.5,-1.0,,,5.439664987967343,35.0,2020-03-31 12:23:09
inversion/./GRAD_MMDCCC20200402_1220_inv.vtk,2020-04-02 12:20:15,d000_025,,10,20,-0.25,-0.0,,,9.591594032504336,200.0,2020-04-02 12:20:15
inversion/./GRAD_MMDCCC20200402_1220_inv.vtk,2020-04-02 12:20:15,d025_050,,10,20,-0.5,-0.25,,,8.699720186454034,53.0,2020-04-02 12:20:15
inversion/./GRAD_MMDCCC20200402_1220_inv.vtk,2020-04-02 12:20:15,d050_075,,10,20,-0.75,-0.5,,,7.7917942486084755,47.0,2020-04-02 12:20:15
inversion/./GRAD_MMDCCC20200402_1220_inv.vtk,2020-04-02 12:20:15,d075_100,,10,20,-1.0,-0.75,,,6.085641912147966,23.0,2020-04-02 12:20:15
inversion/./GRAD_MMDCCC20200402_1220_inv.vtk,2020-04-02 12:20:15,d100_150,,10,20,-1.5,-1.0,,,5.308672342301926,35.0,2020-04-02 12:20:15
inversion/./GRAD_MMDCCC20200406_1203_inv.vtk,2020-04-06 12:03:52,d000_025,,10,20,-0.25,-0.0,,,10.369281173208705,200.0,2020-04-06 12:03:52
inversion/./GRAD_MMDCCC20200406_1203_inv.vtk,2020-04-06 12:03:52,d025_050,,10,20,-0.5,-0.25,,,9.24339967166536,53.0,2020-04-06 12:03:52
inversion/./GRAD_MMDCCC20200406_1203_inv.vtk,2020-04-06 12:03:52,d050_075,,10,20,-0.75,-0.5,,,8.113324778829497,47.0,2020-04-06 12:03:52
inversion/./GRAD_MMDCCC20200406_1203_inv.vtk,2020-04-06 12:03:52,d075_100,,10,20,-1.0,-0.75,,,6.1115006838479475,23.0,2020-04-06 12:03:52
inversion/./GRAD_MMDCCC20200406_1203_inv.vtk,2020-04-06 12:03:52,d100_150,,10,20,-1.5,-1.0,,,5.262647878634815,35.0,2020-04-06 12:03:52
inversion/./GRAD_MMDCCC20200410_1512_inv.vtk,2020-04-10 15:12:17,d000_025,,10,20,-0.25,-0.0,,,10.797573538752276,200.0,2020-04-10 15:12:17
inversion/./GRAD_MMDCCC20200410_1512_inv.vtk,2020-04-10 15:12:17,d025_050,,10,20,-0.5,-0.25,,,8.909659678263491,53.0,2020-04-10 15:12:17
inversion/./GRAD_MMDCCC20200410_1512_inv.vtk,2020-04-10 15:12:17,d050_075,,10,20,-0.75,-0.5,,,7.430925504529853,47.0,2020-04-10 15:12:17
inversion/./GRAD_MMDCCC20200410_1512_inv.vtk,2020-04-10 15:12:17,d075_100,,10,20,-1.0,-0.75,,,5.316897708612405,23.0,2020-04-10 15:12:17
inversion/./GRAD_MMDCCC20200410_1512_inv.vtk,2020-04-10 15:12:17,d100_150,,10,20,-1.5,-1.0,,,4.634939395050665,35.0,2020-04-10 15:12:17
inversion/./GRAD_MMDCCC20200413_1610_inv.vtk,2020-04-13 16:10:57,d000_025,,10,20,-0.25,-0.0,,,9.828505315228053,200.0,2020-04-13 16:10:57
inversion/./GRAD_MMDCCC20200413_1610_inv.vtk,2020-04-13 16:10:57,d025_050,,10,20,-0.5,-0.25,,,8.812694169871161,53.0,2020-04-13 16:10:57
inversion/./GRAD_MMDCCC20200413_1610_inv.vtk,2020-04-13 16:10:57,d050_075,,10,20,-0.75,-0.5,,,7.85455446989387,47.0,2020-04-13 16:10:57
inversion/./GRAD_MMDCCC20200413_1610_inv.vtk,2020-04-13 16:10:57,d075_100,,10,20,-1.0,-0.75,,,6.025875008439636,23.0,2020-04-13 16:10:57
inversion/./GRAD_MMDCCC20200413_1610_inv.vtk,2020-04-13 16:10:57,d100_150,,10,20,-1.5,-1.0,,,5.2413205253433235,35.0,2020-04-13 16:10:57
inversion/./GRAD_MMDCCC20200416_1212_inv.vtk,2020-04-16 12:12:55,d000_025,,10,20,-0.25,-0.0,,,10.05037695229704,200.0,2020-04-16 12:12:55
inversion/./GRAD_MMDCCC20200416_1212_inv.vtk,2020-04-16 12:12:55,d025_050,,10,20,-0.5,-0.25,,,8.995597360965496,53.0,2020-04-16 12:12:55
inversion/./GRAD_MMDCCC20200416_1212_inv.vtk,2020-04-16 12:12:55,d050_075,,10,20,-0.75,-0.5,,,7.971198033766166,47.0,2020-04-16 12:12:55
inversion/./GRAD_MMDCCC20200416_1212_inv.vtk,2020-04-16 12:12:55,d075_100,,10,20,-1.0,-0.75,,,6.056242943277118,23.0,2020-04-16 12:12:55
inversion/./GRAD_MMDCCC20200416_1212_inv.vtk,2020-04-16 12:12:55,d100_150,,10,20,-1.5,-1.0,,,5.2425222861918455,35.0,2020-04-16 12:12:55
inversion/./GRAD_MMDCCC20200420_1633_inv.vtk,2020-04-20 16:33:25,d000_025,,10,20,-0.25,-0.0,,,10.150010538943151,200.0,2020-04-20 16:33:25
inversion/./GRAD_MMDCCC20200420_1633_inv.vtk,2020-04-20 16:33:25,d025_050,,10,20,-0.5,-0.25,,,8.769369743257904,53.0,2020-04-20 16:33:25
inversion/./GRAD_MMDCCC20200420_1633_inv.vtk,2020-04-20 16:33:25,d050_075,,10,20,-0.75,-0.5,,,7.536983776885475,47.0,2020-04-20 16:33:25
inversion/./GRAD_MMDCCC20200420_1633_inv.vtk,2020-04-20 16:33:25,d075_100,,10,20,-1.0,-0.75,,,5.532676356420901,23.0,2020-04-20 16:33:25
inversion/./GRAD_MMDCCC20200420_1633_inv.vtk,2020-04-20 16:33:25,d100_150,,10,20,-1.5,-1.0,,,4.80371480272927,35.0,2020-04-20 16:33:25
