,k,rhoa,r
604,-6806.435016927535,1.0,-0.00014691978950992848
605,-7428.121296487948,1.0,-0.00013462354208900774
606,-8086.459490339976,1.0,-0.00012366351444591944
607,-8782.496796035577,1.0,-0.00011386283687019395
608,-9517.28041112493,1.0,-0.00010507203284996006
609,-10291.857533160337,1.0,-9.716418992179038e-05
610,-11107.275359691725,1.0,-9.003108031596999e-05
611,-11964.581088271543,1.0,-8.358002613064863e-05
612,-12864.821916449962,1.0,-7.773135193743508e-05
613,-13809.045041779282,1.0,-7.241630373240864e-05
614,-14798.297661809585,1.0,-6.757534027584337e-05
615,-15833.626974093131,1.0,-6.315672344916253e-05
616,-16916.080176179392,1.0,-5.9115349985640504e-05
617,-18046.704465621136,1.0,-5.541177902619251e-05
618,-19226.547039968704,1.0,-5.201141931107915e-05
619,-20456.65509677482,1.0,-4.8883847103511034e-05
620,-21738.075833590116,1.0,-4.600223164438408e-05
621,-129.270810198916,1.0,-0.00773569840292055
622,-108.4984980905439,1.0,-0.009216717444009984
623,-89.19155184041145,1.0,-0.011211824207176917
624,2.5132741228718345,1.0,0.3978873577297384
625,-15.70796326794897,1.0,-0.06366197723675812
626,-4.886921905584123,1.0,-0.204627783975294
627,-13.962634015954636,1.0,-0.0716197243913529
628,-28.274333882308145,1.0,-0.03536776513153229
629,-48.869219055841214,1.0,-0.020462778397529406
630,-76.79448708775051,1.0,-0.013021768071155071
631,-113.09733552923261,1.0,-0.00884194128288307
632,-158.82496193148398,1.0,-0.006296239506932123
633,-215.0245638457016,1.0,-0.00465063145398395
634,-282.74333882308133,1.0,-0.0035367765131532306
635,-363.0284844148207,1.0,-0.0027546047842828027
636,-456.92719817211463,1.0,-0.00218853244893363
637,-565.4866776461632,1.0,-0.0017683882565766135
638,-689.7541203881602,1.0,-0.001449791991727789
639,-830.7767239493037,1.0,-0.00120369284691349
640,-989.6016858807833,1.0,-0.0010105075751866387
641,-1167.2762037338007,1.0,-0.0008566952678391546
642,-1364.8474750595656,1.0,-0.0007326826024690834
643,-1583.3626974092565,1.0,-0.0006315672344916479
644,-1823.86906833408,1.0,-0.000548284971417054
645,-2087.4137853852153,1.0,-0.0004790617016144013
